iter	MultiClass
0	2.080514841
1	1.918792466
2	1.78746366
3	1.67329607
4	1.577717862
5	1.490767533
6	1.417026504
7	1.349593487
8	1.289014032
9	1.235232337
10	1.185158819
11	1.139939881
12	1.097192132
13	1.058088552
14	1.021897704
15	0.9875956588
16	0.95562379
17	0.9249529153
18	0.8957616659
19	0.8672505577
20	0.8410842624
21	0.8179879187
22	0.7956550969
23	0.7744372961
24	0.7536807079
25	0.7329723301
26	0.7144168186
27	0.6965793537
28	0.6790937877
29	0.663680029
30	0.6475410795
31	0.6324259236
32	0.6170808147
33	0.6027778471
34	0.5900702239
35	0.5769233891
36	0.5654253899
37	0.5535112007
38	0.5416261201
39	0.5308470483
40	0.5206220786
41	0.5113346044
42	0.5011516801
43	0.4915071313
44	0.4831969129
45	0.4750307334
46	0.4665462224
47	0.4589343317
48	0.4506684722
49	0.4436937862
50	0.4364348865
51	0.4292176755
52	0.4226148156
53	0.4159474451
54	0.4102067897
55	0.4038839404
56	0.3983172757
57	0.3932105102
58	0.3875774207
59	0.3826166546
60	0.3773867293
61	0.3722917758
62	0.367336845
63	0.3622503014
64	0.3581627802
65	0.3536200331
66	0.3490466752
67	0.3452657814
68	0.3411078871
69	0.337309059
70	0.3333844292
71	0.3299026729
72	0.3259759161
73	0.322497353
74	0.3192844121
75	0.3164929102
76	0.3137581798
77	0.3105038602
78	0.306939307
79	0.3039044503
80	0.3015225356
81	0.2985914468
82	0.2958575253
83	0.2933498251
84	0.2904482395
85	0.2879563863
86	0.285249767
87	0.2827765941
88	0.280417678
89	0.2781792876
90	0.275887532
91	0.2737357716
92	0.2716329536
93	0.2694986909
94	0.2673276472
95	0.2654216829
96	0.2635592088
97	0.2619152489
98	0.2600801872
99	0.2582891692
