iter	Passed	Remaining
0	138	34368
1	271	33682
2	401	33084
3	532	32766
4	667	32715
5	801	32581
6	939	32613
7	1078	32623
8	1232	33008
9	1390	33378
10	1544	33558
11	1712	33959
12	1878	34245
13	2032	34267
14	2194	34376
15	2345	34297
16	2499	34253
17	2640	34029
18	2782	33833
19	2925	33641
20	3069	33472
21	3211	33283
22	3357	33132
23	3500	32961
24	3645	32811
25	3801	32750
26	3965	32752
27	4101	32516
28	4308	32835
29	4482	32872
30	4647	32829
31	4878	33234
32	5142	33817
33	5400	34308
34	5658	34760
35	5947	35353
36	6205	35726
37	6471	36106
38	6772	36639
39	7014	36828
40	7264	37030
41	7529	37287
42	7779	37450
43	8029	37591
44	8278	37712
45	8522	37794
46	8780	37923
47	9026	37986
48	9319	38227
49	9567	38268
50	9825	38340
51	10073	38357
52	10334	38414
53	10583	38415
54	10847	38458
55	11192	38774
56	11435	38721
57	11697	38722
58	11947	38678
59	12195	38619
60	12453	38584
61	12808	38838
62	13064	38780
63	13320	38711
64	13565	38609
65	13806	38491
66	14099	38510
67	14338	38375
68	14574	38231
69	14819	38108
70	15060	37968
71	15300	37826
72	15546	37695
73	15780	37531
74	16012	37362
75	16246	37195
76	16483	37035
77	16721	36872
78	16957	36705
79	17189	36527
80	17413	36331
81	17664	36191
82	17905	36026
83	18157	35882
84	18420	35756
85	18664	35593
86	18898	35408
87	19138	35232
88	19372	35044
89	19605	34854
90	19859	34699
91	20098	34516
92	20340	34338
93	20572	34142
94	20812	33957
95	21046	33761
96	21280	33566
97	21561	33441
98	21830	33297
99	22066	33099
100	22326	32937
101	22575	32756
102	22807	32550
103	23040	32345
104	23274	32140
105	23515	31945
106	23738	31725
107	23991	31544
108	24234	31349
109	24466	31139
110	24703	30935
111	24934	30723
112	25165	30510
113	25402	30304
114	25636	30095
115	25867	29881
116	26103	29672
117	26330	29454
118	26572	29251
119	26821	29056
120	27057	28845
121	27293	28635
122	27528	28424
123	27773	28221
124	28007	28007
125	28243	27794
126	28470	27573
127	28696	27351
128	28927	27133
129	29157	26914
130	29386	26694
131	29607	26467
132	29849	26258
133	30091	26049
134	30339	25844
135	30570	25624
136	30804	25408
137	31038	25190
138	31278	24977
139	31519	24765
140	31748	24543
141	31985	24327
142	32226	24113
143	32456	23891
144	32690	23672
145	32913	23445
146	33140	23220
147	33368	22997
148	33599	22775
149	33822	22548
150	34049	22323
151	34282	22103
152	34511	21879
153	34740	21656
154	34965	21430
155	35192	21205
156	35422	20982
157	35645	20755
158	35872	20530
159	36103	20308
160	36335	20086
161	36560	19860
162	36788	19635
163	37019	19412
164	37256	19192
165	37500	18976
166	37728	18751
167	37956	18526
168	38176	18297
169	38403	18072
170	38629	17846
171	38866	17625
172	39099	17402
173	39326	17176
174	39553	16951
175	39798	16733
176	40029	16509
177	40260	16285
178	40489	16060
179	40714	15833
180	40938	15606
181	41163	15379
182	41391	15154
183	41619	14928
184	41841	14701
185	42066	14474
186	42297	14249
187	42519	14022
188	42747	13796
189	42982	13573
190	43214	13348
191	43436	13121
192	43665	12895
193	43899	12672
194	44128	12446
195	44357	12221
196	44584	11994
197	44809	11768
198	45031	11540
199	45262	11315
200	45486	11088
201	45707	10861
202	45935	10635
203	46171	10411
204	46404	10186
205	46630	9959
206	46856	9733
207	47082	9507
208	47310	9281
209	47541	9055
210	47767	8828
211	47993	8602
212	48220	8376
213	48452	8150
214	48694	7927
215	48935	7702
216	49164	7476
217	49395	7250
218	49615	7023
219	49852	6798
220	50078	6571
221	50304	6344
222	50525	6117
223	50759	5891
224	50998	5666
225	51235	5440
226	51473	5215
227	51705	4989
228	51933	4762
229	52152	4534
230	52379	4308
231	52607	4081
232	52825	3854
233	53050	3627
234	53278	3400
235	53510	3174
236	53729	2947
237	53959	2720
238	54190	2494
239	54408	2267
240	54635	2040
241	54864	1813
242	55097	1587
243	55323	1360
244	55559	1133
245	55789	907
246	56010	680
247	56238	453
248	56466	226
249	56687	0
