	Accuracy	Precision	Recall	F1_score
SVM_fold_0	0.9808	1.0	0.9808	0.9903
NB_fold_0	0.8893	0.887	0.9999	0.9401
LR_fold_0	0.9808	1.0	0.9808	0.9903
MLP_fold_0	0.9791	1.0	0.9791	0.9894
DT_fold_0	0.9997	0.9998	0.9999	0.9999
SVM_fold_1	0.9807	1.0	0.9807	0.9902
NB_fold_1	0.8446	0.8415	0.9997	0.9138
LR_fold_1	0.9807	1.0	0.9807	0.9902
MLP_fold_1	0.9791	1.0	0.9791	0.9894
DT_fold_1	0.9997	1.0	0.9997	0.9998
SVM_fold_2	0.9804	1.0	0.9803	0.9901
NB_fold_2	0.8441	0.8409	0.9998	0.9135
LR_fold_2	0.9804	1.0	0.9803	0.9901
MLP_fold_2	0.979	1.0	0.979	0.9894
DT_fold_2	0.9997	0.9999	0.9999	0.9999
SVM_fold_3	0.9806	1.0	0.9806	0.9902
NB_fold_3	0.8455	0.8424	0.9998	0.9143
LR_fold_3	0.9806	1.0	0.9806	0.9902
MLP_fold_3	0.979	1.0	0.979	0.9894
DT_fold_3	0.9998	0.9999	0.9999	0.9999
SVM_fold_4	0.9806	1.0	0.9805	0.9902
NB_fold_4	0.8403	0.8369	0.9999	0.9112
LR_fold_4	0.9806	1.0	0.9805	0.9902
MLP_fold_4	0.979	1.0	0.979	0.9894
DT_fold_4	0.9999	0.9999	0.9999	0.9999
