X_component	Y_component	Z_component
-12.094173	17.194038	-11.779918
2.569873	-3.7025173	0.66475487
21.285387	-0.8644664	5.912547
6.760393	-3.1316957	10.485723
-1.7439638	-15.572719	5.5318875
16.36155	2.5613148	-7.7913723
17.613161	0.9750258	12.207406
3.6821976	7.539621	-9.642241
17.61557	1.8824222	-0.8385171
-1.6340259	0.8526626	12.477405
22.48377	4.789549	9.852649
-8.886373	-20.221134	2.3178785
1.8561921	-7.9782023	9.797486
12.594266	-14.315917	-0.17641622
5.6295667	7.8153768	-18.628752
-13.711299	14.253263	11.024343
-10.168882	11.02094	-9.884558
13.157442	18.997372	7.3530827
-22.21523	-0.97882986	-6.2702966
6.4146624	9.537104	1.4647276
-2.7924373	-11.248666	19.138866
-4.3561325	-18.169968	13.198859
-6.0376425	-3.1296306	-2.7435095
3.399749	7.331714	-8.226261
2.287432	-4.4562955	19.035093
7.9993076	7.9440956	8.561707
8.406039	10.204909	-11.49812
13.32037	2.577161	-12.916953
-4.8351912	9.065925	-10.937307
-4.3325424	7.202897	-18.789677
-11.116869	7.7172303	17.212719
10.081639	-12.509867	-3.9093585
18.500214	14.4172735	-6.871982
6.888629	1.3957747	3.8038638
13.816073	9.187978	16.26656
16.387268	2.6670306	-7.6255183
11.80225	2.5726311	-20.70745
-5.800791	7.495742	-2.17224
7.3179255	2.937034	3.8847206
-1.3012563	-4.393227	4.1026225
0.96068054	-2.9523184	-13.101237
17.83054	13.339801	5.600071
-7.175669	0.9332998	-18.918898
2.9078338	8.424991	-1.6721476
12.041578	17.737019	-8.861156
22.307652	-6.535765	0.06897511
-9.191437	2.010255	-0.6474517
-13.434831	-9.347973	16.607885
14.484234	4.402547	5.866617
-8.859297	1.368915	11.342549
8.2815	1.6401666	-12.4845705
-2.824758	-18.753132	12.833952
-8.099225	9.969443	0.21970783
-0.86550254	2.7681763	12.642516
7.712421	-4.85449	4.553625
-6.6600814	-6.6891966	5.37044
0.86588705	-18.717302	-12.938949
-2.8632908	-21.31361	-5.07682
6.811203	8.616481	-4.9658256
8.336898	5.681576	9.4009495
16.352995	-8.918869	-5.3427486
0.072372034	-19.483126	-12.303452
14.761116	10.093291	-5.320101
5.4592953	-6.129836	-13.593087
-20.302902	-12.653822	3.712703
-1.4031668	8.901266	-8.051058
11.726534	8.225084	-4.4500127
-1.614998	13.902061	-0.5174123
5.719218	-6.3641987	-12.661946
-8.844667	3.0312483	11.414536
-1.4083288	0.21991168	4.6144876
-14.79969	-6.9379525	14.745819
7.938451	0.18559241	3.3724768
4.6997285	16.553732	-11.665558
0.2666342	2.857612	16.303015
4.100393	-4.567793	16.58405
3.160716	9.389886	11.44512
-9.443402	5.7145343	-13.936932
-0.33106127	3.3122551	18.687775
-16.21359	10.892216	6.1415586
-8.451695	0.68731135	4.6338253
-1.7035369	-2.8975704	-22.16137
13.387896	-5.103031	5.7570457
2.5510058	-1.0434426	15.5821905
-15.782238	1.2619503	9.52227
-6.8443723	-3.4845736	-2.4571526
6.28691	-16.885477	9.55432
21.28389	-0.8636242	5.914518
1.7154713	-8.450277	-16.284517
0.16000067	6.300298	6.0524306
6.420563	2.0078168	-21.667976
17.387413	3.92491	-8.288489
3.8725088	23.527618	2.6727407
5.4627705	-10.707138	-1.2409217
-10.985287	-14.682124	7.3161592
6.977057	15.365194	8.005195
-7.913843	17.52208	-4.7545056
11.566173	-3.837426	18.94933
-8.823317	-0.7619172	-9.367075
-6.5144005	6.105335	7.590295
-1.6370127	-13.520287	10.503872
6.059569	14.303175	-0.3922359
-2.7368643	-15.219363	5.1070185
-16.244574	-9.589798	4.1106553
14.4922085	-3.48244	-19.416235
15.89403	-7.7528176	-14.613529
-17.155605	3.2551188	3.507963
-4.0046673	-5.666663	18.930906
-3.2457511	-9.64575	19.60056
14.196625	-9.056978	-2.1812115
11.747047	8.225752	-4.444973
-1.7497594	0.4955642	20.040848
0.45034513	-17.72739	-13.2516775
-14.710104	-6.888496	14.856745
-15.163088	7.6515536	-1.8918121
0.08629854	2.240231	-19.478188
10.945939	-12.567042	8.443469
-12.475986	-7.3938074	-5.362796
20.401754	-3.726844	-12.883077
13.865907	10.077544	-7.0241084
-13.371413	-9.069717	-17.825014
-10.327249	-12.719512	9.775103
0.81051606	5.535164	6.7030153
4.6148233	16.546219	-11.546001
-12.618008	1.7376617	17.727095
-0.38018733	-21.761086	-5.06078
13.099864	-18.958258	4.7754936
15.131792	-8.629101	-3.5626976
-11.65598	-18.954525	1.6992221
-2.7050846	-8.501123	18.740702
4.018218	-3.3176117	15.453468
-1.579157	-20.68936	11.006022
14.374658	3.1617453	5.311254
8.083169	2.303355	-12.866295
1.2709193	-3.4195933	-11.950826
-0.29094094	-8.601175	-8.796667
0.3131942	-6.6262565	-0.96085435
-6.3640885	-1.3871024	15.866494
-8.338494	17.840796	2.994258
-22.834112	-1.8562121	3.5330317
12.705787	1.4978071	14.503535
21.674803	-8.510474	0.8252452
3.788991	-23.221941	4.751365
-0.6573761	24.580683	-5.2950826
7.0599117	3.6838057	16.838192
2.9314802	-16.513666	-9.607316
11.663836	-9.703457	14.28379
7.6697183	-0.1543291	-19.89515
-1.714339	15.092908	-7.619916
2.1552968	4.7675943	-0.57469994
19.785387	0.08270064	12.974683
-3.8573608	6.977368	-1.1289058
-3.2555895	-3.0501707	3.5529165
-11.191894	-13.861187	8.206558
24.164465	2.7096438	-1.1153278
-14.410542	-0.29283273	11.302346
-9.317457	-17.137897	-2.8265648
-7.939038	0.4460253	-16.01855
-8.950267	-1.4769018	-7.690945
-15.311354	1.8388722	2.9453452
-8.839661	-11.529133	-9.76079
7.211379	9.487033	3.0641744
2.4406142	-2.1069894	-12.665285
22.97723	6.1878967	7.6745186
5.3611093	2.356536	-7.6664844
-8.137332	9.872245	20.835354
10.9468	-1.5319822	-4.1300464
-18.749182	-4.8287845	-5.049535
-1.114249	-11.911467	17.837229
-10.034893	9.275303	7.3330355
-5.259032	-1.5135599	-2.1614084
-15.715501	1.3413123	8.72918
17.11321	-6.3651657	7.1727915
10.647458	2.7349653	-3.940564
-19.11163	-1.1298594	13.26862
-1.0515232	-18.715513	-1.1704937
10.548379	-13.035294	-2.0739508
-8.484494	3.2559104	9.677784
-2.3544204	21.933428	-8.528423
2.7346172	-8.156674	-8.984363
-2.6993687	-13.823464	-4.056251
9.995717	-12.368125	-4.5605774
0.03470695	15.135239	14.712598
16.865385	5.6900263	-16.313091
6.50386	10.057424	-14.848893
-1.6652434	-6.577113	13.154246
-1.833414	-0.39921597	12.193479
-2.439909	14.080138	16.088177
-12.872397	13.478686	3.712562
-9.077042	-5.847658	7.601713
6.9958353	5.281468	16.67583
14.538316	-2.8006299	-18.393778
5.927406	2.5783129	10.829086
-10.0356045	9.276176	7.333128
-13.381864	-17.185097	-8.385798
7.2726507	10.697388	-12.867481
-9.634949	-1.548585	-9.366357
-9.417714	5.398948	-6.761834
-18.327055	-6.1900125	-3.1960561
-4.0113316	7.0913363	-0.7956225
-13.435526	-2.5147164	-4.7738953
4.815855	0.8845784	18.264359
-11.559083	-13.912993	7.651444
-1.9536687	20.78934	7.4583697
17.14424	-6.369292	7.2148433
-2.9769952	-12.783589	10.742591
5.6541247	-0.6640783	10.205403
1.611243	-5.8873525	8.654663
16.971165	3.8433943	-7.108146
2.2732103	12.734207	3.8090127
-8.958401	-6.156793	8.336302
-2.722033	-0.6463191	-13.608493
-3.674379	3.6272168	1.2007189
-2.090962	-3.8496778	-5.4590893
-22.760662	-1.7402909	2.6764164
-18.899435	-3.6931694	-6.4835434
-20.311121	-12.684883	3.6945703
0.9959247	-7.6289897	-9.540009
-8.087498	9.957584	20.772707
-9.688502	-9.263907	10.429128
-14.600233	-2.7692184	6.4133396
-7.6879506	-13.427658	-10.686445
-6.017039	-17.761768	-9.88983
14.8826475	-3.5255203	-9.6846695
-12.383845	-7.675649	17.475891
19.538624	4.590516	2.4119027
13.209817	8.519956	15.73356
-4.5191135	-5.603658	13.458519
-17.728172	-4.381823	2.644196
7.6766315	2.166865	3.3606813
2.654702	6.8454666	5.556213
16.049568	-5.210366	0.68010485
3.777487	-8.716358	10.119179
-17.13525	3.0387852	-17.378717
-0.74063265	-0.12726052	-16.045963
-0.25584856	22.055025	-8.485821
20.28809	-2.2634306	-13.585959
-15.51243	-8.432189	13.556347
10.660532	3.3459804	-3.452618
16.607605	-9.463995	-6.196749
2.548363	-9.134536	9.822657
-5.9482803	13.445993	4.1662493
0.4498816	-6.395501	-0.66112685
15.0321045	-9.695657	-4.2440023
12.61905	-12.280699	6.4501104
1.9916527	-3.0960674	-11.845721
15.111208	-8.744546	-4.0426497
7.9372053	0.12953755	17.306364
13.24589	1.5993346	2.516573
6.871892	3.3207488	16.952204
-8.935742	2.515672	11.674966
-15.965811	1.7492626	-2.426977
0.029205993	-9.542926	1.1319258
11.013728	-17.670897	-12.70829
2.691888	5.8512373	4.4162602
-3.6160095	5.9641604	-16.500826
-8.873319	18.249397	1.69958
7.427574	15.5260315	14.923626
22.986986	6.4578743	7.325931
6.616461	2.2052016	3.1129017
9.474453	-11.451883	-9.97968
16.992683	-10.2275715	-6.3875246
2.5655196	-2.618964	-11.688231
-3.542956	8.539917	-9.683244
24.358608	4.5027976	-0.9844726
-4.167814	8.24177	12.751315
-8.530932	18.470083	10.726672
-5.1618547	13.64517	-2.2162879
-7.0947556	-4.828987	-14.108991
-6.2444196	-1.353129	15.282643
-21.069145	1.3723377	-9.629442
13.24456	-14.60118	-0.12156529
13.3831415	-11.528975	5.074517
1.157785	21.133833	-1.0684472
9.382463	11.203002	12.902466
6.2347655	-16.818518	9.354744
-12.73587	6.6895623	9.33413
9.484576	-17.393808	-13.068551
17.736195	10.267916	-11.834546
-3.8061206	18.988111	-0.30613998
4.2446404	-13.952311	-10.731453
-13.996347	13.037088	4.5496836
14.606208	-1.5925424	-16.669724
-0.2948365	1.6334062	-10.352116
18.724888	4.3819575	3.9529426
-3.1736808	2.5970197	-5.7083626
8.542743	-7.053869	6.9999485
-1.168199	-9.7075205	-18.220177
-6.6468782	18.270874	-5.21786
1.2660136	6.9552083	-7.748298
-3.797442	-12.991123	10.616038
3.813244	23.479172	2.7458532
5.458616	-6.1288977	-13.5952835
-8.452113	0.6878884	4.633999
19.112217	4.9041176	-7.0341673
9.705458	9.182858	-10.327548
-13.581019	-17.192068	-9.688629
5.178333	-5.5556655	-18.935236
-10.675758	-3.6708698	-21.760195
-4.697517	-9.388757	-1.2227858
-18.971283	-16.682487	1.6569482
3.4754298	-9.392691	21.799646
-11.664108	-13.969739	6.969396
2.2874913	-12.420487	4.0976043
-5.837266	12.841925	6.5801945
2.31912	-12.376955	3.9565446
-2.1381934	-7.575903	16.32712
2.7483532	6.2012496	-9.024777
-7.5735407	0.4630594	-16.46696
-13.479131	13.609645	4.301756
9.634823	-1.479516	-4.6047654
5.7390904	-10.351036	15.747917
5.135634	0.76613736	-16.66286
10.142354	-12.593336	-3.571693
-11.426489	9.523288	-9.533077
16.045063	-2.9188282	17.574722
-1.0358366	19.465628	0.18528926
-3.5625367	-13.823772	18.735981
1.432552	7.8208575	-10.579113
4.748729	-1.4886335	-0.70581067
-12.820982	6.8813214	1.204863
-1.9586298	20.76797	7.4606047
13.886657	-3.6717985	-9.759351
12.603637	10.152303	2.881275
-16.068308	-10.117117	3.2839742
-18.388662	8.482037	-7.9976225
5.4618664	-4.9526887	18.495554
3.2364025	8.629279	-1.4521881
-16.647596	-13.026395	-3.6331263
18.141651	1.9045061	-0.32940742
0.3200978	-11.987901	-5.286787
-1.8604181	7.7599983	-8.981847
-0.3044713	-8.554701	-8.800815
14.766427	4.604215	6.0420113
-14.426871	15.13984	-9.1507435
12.253991	-19.368454	-4.726093
-2.4024844	7.9113207	-9.07835
-5.852026	9.446321	-10.816836
5.673796	2.4305935	11.058189
-15.567279	1.3590006	9.294977
12.899144	-2.4182696	18.740316
1.4897408	-1.6085621	20.01952
-3.4953523	6.6896996	-0.666936
13.320405	2.5770388	-12.917067
-13.098428	6.995826	0.991503
0.47274265	5.4316716	6.415634
