		Accuracy	Precision	Recall	F1_score	time
AdaBoost	0.5252		0.8524		0.5252	0.6113		13.968168020248413
XGBoost		0.9622		0.9618		0.9622	0.9615		7.0089662075042725
GraBoost	0.9664		0.966		0.9664	0.9658		233.6043016910553
DT		0.9689		0.9688		0.9689	0.9686		0.16732478141784668
CatBoost	0.9701		0.9698		0.9701	0.9697		7.311994791030884
LightBoost	0.9704		0.97		0.9704	0.9698		4.766201734542847
DeepGBM (meta_features)		0.9717		0.9728		0.9717	0.9721		106.06838774681091


{'target': 0.9744039147049525, 'params': {'dropout': 0.08168890803635903, 'emb_dim': 15.05709828308617, 'epoch': 26.641108918537117, 'hidden_dim': 173.61965932252735, 'hidden_dim2': 135.61974192272424, 'lr': 0.0014700987643223942, 'n_layers': 1.9192423819415914, 'weight_decay': 0.004677305326855085}}
 
