	Accuracy	Precision	Recall	F1_score	time
SVM	0.6425	0.8324	0.6425	0.7024	952.9923231601715
NB	0.3655	0.5625	0.3655	0.3732	0.20044851303100586
LR	0.6409	0.8365	0.6409	0.7011	6.6916468143463135
MLP	0.6165	0.8455	0.6165	0.684	5.357785701751709
DT	0.925	0.936	0.925	0.9288	0.21416330337524414
XGBoost (stacked)	0.9085	0.9209	0.9085	0.9113	47.32249975204468
CatBoost (stacked)	0.9388	0.9407	0.9388	0.9375	20.203373670578003
LightBoost (stacked)	0.6632	0.8083	0.6632	0.6706	7.156997203826904
AdaBoost (stacked)	0.8429	0.8721	0.8429	0.8499	10.148699283599854
GraBoost (stacked)	0.7344	0.8465	0.7344	0.7404	1148.8145105838776
