	F1_score
CatB_fold_0	0.9174
CatB_fold_1	0.9216
CatB_fold_2	0.9187
CatB_fold_3	0.9135
CatB_fold_4	0.9177
DT_fold_0	0.9276
DT_fold_1	0.9295
DT_fold_2	0.9292
DT_fold_3	0.9269
DT_fold_4	0.9313
LR_fold_0	0.7025
LR_fold_1	0.7068
LR_fold_2	0.7041
LR_fold_3	0.7005
LR_fold_4	0.7044
LightB_fold_0	0.7693
LightB_fold_1	0.7002
LightB_fold_2	0.7337
LightB_fold_3	0.7614
LightB_fold_4	0.7667
MLP_fold_0	0.6751
MLP_fold_1	0.6816
MLP_fold_2	0.6684
MLP_fold_3	0.6645
MLP_fold_4	0.6901
NB_fold_0	0.4048
NB_fold_1	0.3553
NB_fold_2	0.3572
NB_fold_3	0.3729
NB_fold_4	0.4109
