	Accuracy	Precision	Recall	F1_score	time	tuning_time
SVM	0.6425	0.8324	0.6425	0.7024	546.0112690925598	0.0
DT	0.9685	0.9683	0.9685	0.9681	0.21544337272644043	39.871883153915405
LR	0.6416	0.837	0.6416	0.7017	9.823890924453735	2461.8023478984833
NB	0.4636	0.7319	0.4636	0.5006	0.15159130096435547	26.284538984298706
MLP	0.6394	0.8174	0.6394	0.7014	7.162213087081909	2391.019898414612
GraBoost (stacked)	0.9692	0.9691	0.9692	0.9688	1654.7516341209412	50369.119936704636
AdaBoost (stacked)	0.9652	0.9659	0.9652	0.9652	48.376437187194824	1351.4202251434326
CatBoost (stacked)	0.9799	0.9798	0.9799	0.9795	30.728089570999146	4269.261029958725
LightBoost (stacked)	0.9689	0.9688	0.9689	0.9685	18.329535007476807	1076.0867116451263
XGBoost (stacked)	0.9691	0.9691	0.9691	0.9688	23.72615885734558	1051.2050347328186
