	Accuracy	Precision	Recall	F1_score	time
SVM	0.4516	0.8356	0.4516	0.5395	953.6937372684479
NB	0.3831	0.8722	0.3831	0.4452	0.07213377952575684
LR	0.4514	0.835	0.4514	0.5393	4.02004861831665
MLP	0.4514	0.8349	0.4514	0.5391	2.7100186347961426
DT	0.9454	0.9455	0.9454	0.9452	0.09638500213623047
CatBoost (stacked)	0.955	0.9553	0.955	0.9448	31.183865547180176
XGBoost (stacked)	0.9453	0.9457	0.9453	0.9452	16.216267824172974
LightBoost (stacked)	0.9459	0.946	0.9459	0.9455	11.806311130523682
AdaBoost (stacked)	0.9197	0.9424	0.9197	0.9299	39.40926194190979
GraBoost (stacked)	0.9456	0.9456	0.9456	0.945	1225.150689125061
