	Accuracy	Precision	Recall	F1_score
SVM_fold_0	0.452	0.8311	0.452	0.5392
NB_fold_0	0.3843	0.8691	0.3843	0.4462
LR_fold_0	0.452	0.8309	0.452	0.5392
MLP_fold_0	0.4522	0.8319	0.4522	0.5396
DT_fold_0	0.9423	0.9419	0.9423	0.9418
SVM_fold_1	0.4567	0.8398	0.4567	0.5456
NB_fold_1	0.3873	0.8722	0.3873	0.4499
LR_fold_1	0.4569	0.8397	0.4569	0.5458
MLP_fold_1	0.4569	0.8396	0.4569	0.5455
DT_fold_1	0.9466	0.9477	0.9466	0.9467
SVM_fold_2	0.454	0.8323	0.454	0.5421
NB_fold_2	0.3871	0.8727	0.3871	0.4506
LR_fold_2	0.454	0.8325	0.454	0.5424
MLP_fold_2	0.4539	0.8323	0.4539	0.5421
DT_fold_2	0.9464	0.9466	0.9464	0.9461
SVM_fold_3	0.4541	0.8364	0.4541	0.5428
NB_fold_3	0.3857	0.8722	0.3857	0.4488
LR_fold_3	0.4541	0.8361	0.4541	0.5428
MLP_fold_3	0.4541	0.8364	0.4541	0.5428
DT_fold_3	0.9444	0.944	0.9444	0.9439
SVM_fold_4	0.4556	0.8384	0.4556	0.5438
NB_fold_4	0.3601	0.8743	0.3601	0.4026
LR_fold_4	0.4554	0.8379	0.4554	0.5437
MLP_fold_4	0.4557	0.8376	0.4557	0.5434
DT_fold_4	0.9448	0.945	0.9448	0.9445
