X_component	Y_component	Z_component
-20.95317	-0.75274736	-2.3777711
2.3482254	-20.50209	6.616563
5.977431	-5.915732	21.509417
1.2212316	-4.739713	-0.13536379
1.2450472	1.4371768	21.584225
10.445345	-10.636305	18.329958
-12.399674	1.3265294	-7.3783264
23.617783	-1.757639	2.9607713
14.024017	-8.455552	-13.393488
-8.497718	-18.533371	12.234959
14.749848	8.117397	-7.685233
8.088439	-12.227301	1.281185
-1.0311449	10.152254	-4.381755
-17.187841	7.899466	8.7880535
-11.12997	-15.976908	-2.6513853
2.6848755	-3.1491401	-6.205332
9.017985	9.223802	-4.693754
10.324858	4.609727	-20.858944
2.5278788	-3.0852997	-20.280499
4.771204	-2.3231215	-11.982635
4.403043	1.9095817	2.8260217
-10.361933	13.428427	-5.5212045
-5.063679	1.60456	7.685859
-0.18790111	-7.469627	-11.613941
0.0607809	10.59062	8.808979
10.194313	3.3319044	11.988206
-0.17950395	-8.414661	-11.864662
-24.658539	-0.3953599	1.7187877
-0.36955032	2.6021712	-7.1470027
-0.5832153	3.4624455	-6.38806
8.001151	-12.817132	7.6444225
-4.3038993	-1.0626884	-3.469227
-16.28452	-8.304259	15.38657
3.9178321	0.28791624	12.299506
-11.160196	14.708657	0.9826023
0.2770337	-8.336132	-11.105848
-12.16407	-4.8116765	5.258115
0.6817055	-20.771584	-12.491449
3.816519	-8.283192	4.816347
9.664222	5.478343	-19.237267
-8.292136	-6.739792	13.613671
-11.3135195	-14.685258	-3.2131114
-17.193556	9.680255	7.53094
14.074702	2.015449	-16.994303
-0.2902417	0.58422196	-8.277934
10.094356	17.178936	8.499326
-4.5346856	13.10563	7.0378175
-1.8436543	-12.811217	16.956861
-3.9074552	5.8679924	10.182525
5.207876	-4.1571507	-12.62631
-6.65364	21.298994	-1.8145593
10.090663	-12.915833	-17.46026
0.6966869	6.9357176	19.242203
6.1132746	-7.4869237	11.062849
4.1698647	7.35402	21.797651
1.9919028	7.2647843	-11.692641
-10.602789	-10.889384	19.207172
-1.8044767	-12.477964	8.000959
1.4132487	-4.7323046	-18.591703
10.296235	4.6377783	-20.81147
13.948849	-13.490436	1.0603763
2.438396	11.8165655	-17.677805
3.2963428	-3.8443785	-21.393124
-6.7818756	-7.171121	16.130524
3.8732932	0.84827584	16.259865
13.708237	6.716061	5.0186915
-16.68561	-13.446273	-3.1772058
7.35996	3.9286447	-13.261055
5.7296777	11.119112	3.6856544
2.5840228	3.285251	-4.609744
8.715526	-4.537476	-10.480254
-16.029594	17.447607	-4.244757
10.50447	-17.66808	10.94251
-2.4479952	-19.508812	11.459052
11.223792	10.6447315	-15.091916
-5.17263	-2.9567327	-15.079073
6.5259976	-13.724011	-15.801726
5.505152	8.994831	-3.1981587
-5.3348455	6.5197916	11.356333
-16.146578	-5.1501756	0.54545593
-15.969651	-13.98989	-10.631005
9.881095	-0.58904165	0.8962679
1.9409344	-23.138733	-5.8196015
1.4325639	-18.384052	-15.349428
14.772571	7.7913885	-7.797912
23.642591	-1.6865597	2.958773
18.497906	-6.5439134	13.534057
-0.22656423	6.0466633	-9.265766
-8.293635	3.6928186	16.050459
5.024953	-6.08284	-21.356033
-22.387371	0.6928578	9.537021
-11.436475	14.77409	2.5358324
13.965547	2.0234103	-16.879456
4.5617385	-17.125084	-4.2970967
-2.2181008	-11.365449	6.3111653
10.704877	-1.436658	1.1109604
-14.733965	2.822015	-9.192162
10.209658	5.6614547	-19.701729
-6.404096	-2.2660031	4.93643
-2.230403	-8.695839	3.2040079
3.2174656	13.579697	-8.3862705
-0.21720484	6.063413	-9.250785
13.481657	-12.859338	3.6260188
-6.9490266	-8.250954	-0.90039474
-9.756986	-2.753249	14.4602165
-10.531678	9.5300455	7.2794194
